product,category,price,return_reason
Men's Slim Fit Shirt,Apparel,899,The size was way smaller than the size chart said
Women's Kurti Set,Apparel,1299,Fabric felt cheap and thin compared to the photos
Running Shoes,Footwear,2499,Shoe arrived with a torn box and scuff marks on the sole
Wireless Earbuds,Electronics,1799,Left earbud stopped charging after two days
Bluetooth Speaker,Electronics,2199,Sound quality was tinny not like the demo video
Men's Formal Trousers,Apparel,1099,Waist size was one size too big even though I ordered my usual size
Women's Handbag,Accessories,1599,Color looked mustard yellow in photos but arrived olive green
Skincare Combo Set,Beauty,899,One of the bottles was leaking inside the box
Kids Backpack,Accessories,799,Zipper broke on the very first use
Smart Watch,Electronics,3499,Screen had a dead pixel out of the box
Men's Sneakers,Footwear,1999,Ordered UK 9 but received UK 8 by mistake
Women's Saree,Apparel,2299,Material felt synthetic not the pure cotton advertised
Air Fryer,Home Appliances,4999,Stopped heating after the third use
Non Stick Cookware Set,Home Appliances,1899,Coating started peeling within a week
Men's Hoodie,Apparel,1499,Print on the hoodie was crooked and off center
Women's Jeans,Apparel,1699,Fit was too tight around the thighs despite ordering usual size
Laptop Sleeve,Accessories,599,Received a different design than what was shown
Yoga Mat,Fitness,999,Mat had a strong chemical smell that did not go away
Protein Powder,Health,1899,Seal was broken and looked tampered with
Men's Wallet,Accessories,699,Stitching came apart within two days
Women's Ethnic Top,Apparel,899,Color faded significantly after just one wash
Electric Kettle,Home Appliances,1299,Kettle leaked water from the base
Wireless Mouse,Electronics,799,Mouse stopped connecting to laptop after one day
Men's Sports Shorts,Apparel,599,Received wrong item completely a t shirt instead
Face Cream Combo,Beauty,1099,Product had an odd smell different from the original
Women's Flats,Footwear,1199,Sole started coming off after light use
Bedsheet Set,Home,1399,Thread count did not match what was described on the listing
Table Lamp,Home,899,Arrived with the switch not working
Men's Polo Tshirt,Apparel,799,Ordered large but the fit was more like medium
Women's Earrings Set,Accessories,499,One earring was missing from the package
Baby Diapers Pack,Baby Care,799,Pack was already opened and a few diapers missing
Hair Dryer,Beauty,1599,Motor made a burning smell within minutes of use
Men's Sunglasses,Accessories,999,Received a scratched pair not a new one
Women's Leggings,Apparel,599,Fabric was see through more than expected
Bluetooth Headphones,Electronics,2299,One side had no sound at all
Cushion Covers Set,Home,699,Color was very different from what was shown online
Men's Track Pants,Apparel,899,Elastic waistband was already loose out of the box
Women's Clutch,Accessories,1099,Zipper got stuck on the second use
Water Bottle Set,Home,499,One bottle had a small crack near the cap
Men's Formal Shoes,Footwear,2799,Right shoe size did not match the left shoe
Rice Cooker,Home Appliances,1799,Inner pot has a scratched non stick coating from new
Women's Maxi Dress,Apparel,1599,Length was much shorter than shown in the model photo
Kids Shoes,Footwear,899,Sizing ran very small compared to age group mentioned
Phone Case,Accessories,399,Case did not fit the phone model properly
Men's Casual Shirt,Apparel,1099,Two buttons were missing from the shirt
Women's Anklet,Accessories,349,Anklet broke within the first day of wear
Trimmer,Beauty,1499,Battery did not hold charge for more than ten minutes
Dinner Set,Home,2199,Two plates arrived chipped and broken
Men's Cap,Accessories,399,Received a different color than what was ordered
Face Wash Combo,Beauty,699,Tube was almost empty when it arrived
